org,aug
Specify that you want to search for the restaurant named 1760 when you are looking for restaurants.,[IN:GET_RESTAURANTS Specify that you want to search for the restaurant named [SL:RESTAURANT_NAME 1760 ] when you are looking for restaurants. ]
I request Salon services in Santa Rosa as my preferred city.,[IN:GET_SALONS I request Salon services in [SL:CITY Santa Rosa ] as my preferred city. ]
"When I request Media, my favorite type is adventure.","[IN:GET_MEDIA When I request Media, my favorite type is [SL:GENRE adventure ]. ]"
"When it comes to Movies, I'm all about Adventure.","[IN:GET_MOVIES When it comes to Movies, I'm all about [SL:GENRE Adventure ]. ]"
Request the Doctor in Santa Rosa.,[IN:GET_DOCTORS Request the Doctor in [SL:CITY Santa Rosa ]. ]
I prefer San Jose as the area when I request Homes.,[IN:GET_HOMES I prefer [SL:AREA San Jose ] as the area when I request Homes. ]
I always want Vancouver to be the city I'm looking at when I'm searching for Events.,[IN:GET_EVENTS I always want [SL:CITY Vancouver ] to be the city I'm looking at when I'm searching for Events. ]
My go-to theater for Movies is Century San Francisco Centre.,[IN:GET_MOVIES My go-to theater for Movies is [SL:THEATER_NAME Century San Francisco Centre ]. ]
"If I'm looking for movies, I like fantasy the best.","[IN:GET_MOVIES If I'm looking for movies, I like [SL:GENRE fantasy ] the best. ]"
My preferred pickup location when requesting RentalCars is Charles de Gaulle International Airport.,[IN:GET_RENTALCARS My preferred pickup location when requesting RentalCars is [SL:PICKUP_LOCATION Charles de Gaulle International Airport ]. ]
"When I request information about Events, I should also take a look at RentalCars.","[IN:GET_EVENTS When I request information about Events, [IN:GET_RENTAL_CARS I should also take a look at RentalCars. ] ]"
I would like Punjabi cuisine when I request Restaurants.,[IN:GET_RESTAURANTS I would like [SL:CUISINE Punjabi ] cuisine when I request Restaurants. ]
I'd like a hotel that has wifi when I'm looking for a place to stay.,[IN:GET_HOTELS I'd like a hotel that [SL:HAS_WIFI has wifi ] when I'm looking for a place to stay. ]
"If I'm looking for a restaurant, I'm especially keen on getting some Ramen.","[IN:GET_RESTAURANTS If I'm looking for a restaurant, I'm especially keen on getting some [SL:CUISINE Ramen ]. ]"
"If I'm looking for a salon, I'd prefer it to be for both men and women.","[IN:GET_SALONS If I'm looking for a salon, I'd prefer it to be [SL:IS_UNISEX for both men and women ]. ]"
"If I'm opening a bank account, I want it to be a savings account.","[IN:GET_BANKS If I'm opening a bank account, I want it to be a [SL:RECIPIENT_ACCOUNT_TYPE savings ] account. ]"
I want the Doctor to be in San Fran if I request one.,[IN:GET_DOCTORS I want the Doctor to be in [SL:CITY San Fran ] if I request one. ]
"If I'm looking for a Dentist, Sunnyvale is the city I want to go to.","[IN:GET_DENTISTS If I'm looking for a Dentist, [SL:CITY Sunnyvale ] is the city I want to go to. ]"
Request a Doctor in San Jose.,[IN:GET_DOCTORS Request a Doctor in [SL:CITY San Jose ]. ]
My preferred city for a Dentist is Sunnyvale.,[IN:GET_DENTISTS My preferred city for a Dentist is [SL:CITY Sunnyvale ]. ]
My go-to place for Movies is Union City when I am in need.,[IN:GET_MOVIES My go-to place for Movies is [SL:LOCATION Union City ] when I am in need. ]
"When it comes to eating out, my favorite type of cuisine is Asian Fusion.","[IN:GET_RESTAURANTS When it comes to eating out, my favorite type of cuisine is [SL:CUISINE Asian Fusion ]. ]"
"When I request information about Events, please also investigate Hotels.","[IN:GET_EVENTS When I request information about Events, [IN:GET_HOTELS please also investigate Hotels. ] ]"
"When it comes to Movies, I prefer Emeryville as the location.","[IN:GET_MOVIES When it comes to Movies, I prefer [SL:LOCATION Emeryville ] as the location. ]"
I want to investigate both Travel and Hotels.,[IN:GET_TRAVEL I want to investigate both Travel] and [IN:GET_HOTELS Hotels ]. 
I want you to look at both Restaurants and Movies when I ask.,I want you to look at both [IN:GET_RESTAURANTS Restaurants] and [IN:GET_MOVIES Movies] when I ask.
"If I'm looking for Events, what I really want is Music.","[IN:GET_EVENTS If I'm looking for Events, what I really want is [SL:EVENT_TYPE Music]. ]"
I would like to request Travel as well as Events.,[IN:GET_TRAVEL I would like to request Travel ] as well as [IN:GET_EVENTS Events ].
"If I'm looking for a dentist, I want to go to Amazing Smile Dental.","[IN:GET_DENTISTS If I'm looking for a dentist, I want to go to [SL:DENTIST_NAME Amazing Smile Dental]. ]"
"If I'm looking into Travel, I should also check out Hotels.","[IN:GET_TRAVEL If I'm looking into Travel, I should also check out [IN:GET_HOTELS Hotels]. ]"
Search for Restaurants and Movies.,[IN:GET_RESTAURANTS Search for Restaurants ] and [IN:GET_MOVIES Movies. ]
"When it comes to Hotels, I prefer ones that are rated 1-star.","[IN:GET_HOTELS When it comes to Hotels, I prefer ones that are rated [SL:AVERAGE_RATING 1-star]. ]"
